paper_id,DOI,title,first_author,journal,year,sub_field,cited_by_count
151,10.1109/access.2020.3032531,Energy and Materials-Saving Management via Deep Learning for Wastewater Treatment Plants,Jianhui Wang,IEEE Access,2020,WWTP,34.0
152,10.1109/access.2021.3094466,Deep Reinforcement Learning-Based Smart Joint Control Scheme for On/Off Pumping Systems in Wastewater Treatment Plants,Giup Seo,IEEE Access,2021,control,35.0
153,10.1109/access.2021.3123225,Using LSTM Neural Network Based on Improved PSO and Attention Mechanism for Predicting the Effluent COD in a Wastewater Treatment Plant,Xin Liu,IEEE Access,2021,WWTP,54.0
154,10.1109/access.2022.3162932,Desalination Plant Performance Prediction Model Using Grey Wolf Optimizer Based ANN Approach,Rajesh Mahadeva,IEEE Access,2022,membrane,33.0
155,10.1109/access.2022.3216924,Prediction and Detection of Sewage Treatment Process Using N-BEATS Autoencoder Network,Yue Zhang,IEEE Access,2022,WWTP,11.0
156,10.1109/access.2023.3292543,Enhancing Time Series Forecasting With an Optimized Binary Gravitational Search Algorithm for Echo State Networks,Zohaib Ahmad,IEEE Access,2023,WWTP,9.0
157,10.1109/access.2024.3458186,Optimizing Control of Wastewater Treatment Plant With Reinforcement Learning: Technical Evaluation of Twin-Delayed Deep Deterministic Policy Gradient Agent,Zuzanna Klawikowska,IEEE Access,2024,control,7.0
158,10.1109/access.2025.3576826,"A Real-Time ETP Outlet Monitoring Framework Leveraging Environmental IoT, Colorimetry, and Learning Theory",Md. Jahid Hasan Mridha,IEEE Access,2025,monitoring,1.0
159,10.1109/acie51979.2021.9381095,Corrosion Prediction Model of Circulating Water in Refinery Unit Based on PCA-PSO-BP,Guanyu Suo,2021 IEEE Asia Conference on Information Engineering (ACIE),2021,monitoring,1.0
160,10.1109/cac57257.2022.10055712,Uncertainty and Reliability Analysis of Neural Networks Based Soft-sensors With Applications in Wastewater Treatment<sup>*</sup>,Yiqi Liu,2022 China Automation Congress (CAC),2022,WWTP,1.0
161,10.1109/ccdc.2019.8832519,Wastewater treatment sensor fault detection using RBF neural network with set membership estimation,Binbin Chi,2019 Chinese Control And Decision Conference (CCDC),2019,monitoring,4.0
162,10.1109/colcaci67437.2025.11230782,Machine Learning for Effluent Quality Classification in Wastewater Treatment,Laura Hernández Alpízar,2025 IEEE Colombian Conference on Applications of Computational Intelligence (ColCACI),2025,WWTP,0.0
163,10.1109/ecbios57802.2023.10218420,Machine Learning Approach to IoT- Based Water Quality Monitoring,Chin-Chih Chang,"2023 IEEE 5th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)",2023,monitoring,8.0
164,10.1109/etfa54631.2023.10275522,Optimal set point generation based on deep reinforcement learning and transfer knowledge for Wastewater Treatment Plants,Oscar Aponte-Rengifo,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),2023,control,1.0
165,10.1109/gitcon65266.2025.11376980,Predicting Agricultural Waste Biogas Potential in Anaerobic Digestion Using XGBoost Algorithm,D. Muthukumaran,2025 Global Conference on Information Technology and Communication Networks (GITCON),2025,sludge,0.0
166,10.1109/i2mtc.2017.7969924,A deep learning based soft sensor for a sour water stripping plant,S. Graziani,2017 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),2017,WWTP,13.0
167,10.1109/icamimia54022.2021.9807734,Process Dynamics Modeling on Polishing Unit of Artificial Neural Network-Based Produced Water Treatment System,Putri Y Aisyah,"2021 International Conference on Advanced Mechatronics, Intelligent Manufacture and Industrial Automation (ICAMIMIA)",2021,WWTP,1.0
168,10.1109/iccea62105.2024.10604051,Simulation study on intelligent analysis of turbidity in water distribution network based on BP and RBF neural network,Jiangang Fei,2024 5th International Conference on Computer Engineering and Application (ICCEA),2024,monitoring,2.0
169,10.1109/iccebs58601.2023.10449164,Smart Dosing: Harnessing AI for Alum dosage Predictions in Water Treatment,Mohanraj K,2023 Intelligent Computing and Control for Engineering and Business Systems (ICCEBS),2023,coagulation,1.0
170,10.1109/icces63552.2024.10859485,Water Quality Evaluation using Machine Learning,Pongiannan R.K.,2024 9th International Conference on Communication and Electronics Systems (ICCES),2024,monitoring,2.0
171,10.1109/iceca63461.2024.10800837,Edge based Device using Machine Learning for Water Quality Management in a Smart Campus,M. Meenalochani,"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",2024,monitoring,1.0
172,10.1109/ichora65333.2025.11017189,"Enhancing Explainability of Chemical Oxygen Demand Prediction Models for Industrial Wastewater Treatment in Delfzijl, the Netherlands",Ismaila Abubakar Bobboi,"2025 7th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",2025,WWTP,1.0
173,10.1109/icipca65645.2025.11138690,CNN-LSTM: A Deep Learning Model for Long-Term Prediction of Tap Water Quality,Yunxiao Liang,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),2025,monitoring,1.0
174,10.1109/icivc58118.2023.10270767,Monitoring Effluent Water Quality in Wastewater Treatment Process Based on Multi-model Online Soft Sensing Method,Zhaozhao Zhang,"2023 8th International Conference on Image, Vision and Computing (ICIVC)",2023,WWTP,0.0
175,10.1109/icnsc48988.2020.9238099,Deep Learning Based Anomaly Detection in Water Distribution Systems,Kai Qian,"2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)",2020,monitoring,19.0
176,10.1109/icstcc62912.2024.10744668,Enhancing Effluent Quality Predictions in Wastewater Treatment with LSTM Neural Network,Daniel Voipan,"2024 28th International Conference on System Theory, Control and Computing (ICSTCC)",2024,WWTP,5.0
177,10.1109/ictech58362.2023.00046,Prediction of Coagulant Dosage in Waterworks Based on Ensemble Learning,Yingtao Hu,2023 12th International Conference of Information and Communication Technology (ICTech),2023,coagulation,4.0
178,10.1109/idaacs68557.2025.11322119,Prediction of Biogas Production Using LSTM-Based Neural Networks,Vasyl Dombrovskyi,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),2025,sludge,0.0
179,10.1109/idaacs68557.2025.11322245,Biogas Production Forecasting Using Adaptive Neuro-Fuzzy Inference System,Lesia Dubchak,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),2025,sludge,0.0
180,10.1109/ie61493.2024.10599915,Multitarget Wastewater Quality Assessment in a Smart Industry Context,Marco Cardia,2024 International Conference on Intelligent Environments (IE),2024,monitoring,1.0
181,10.1109/iet-iceta56553.2022.9971667,Soft Sensing Measurement of Dissolved Ammonia Nitrogen in Tank-Based Eel Aquaculture Systems Utilizing Deep Learning,Dennis Jefferson A. Amora,2022 IET International Conference on Engineering Technologies and Applications (IET-ICETA),2022,monitoring,0.0
182,10.1109/iscsic60498.2023.00050,Using machine learning for anomaly detection in drinking water from distribution network,Khadim Gueye,2023 7th International Symposium on Computer Science and Intelligent Control (ISCSIC),2023,monitoring,3.0
183,10.1109/jas.2018.7511168,Modeling of energy consumption and effluent quality using density peaks-based adaptive fuzzy neural network,Junfei Qiao,IEEE/CAA Journal of Automatica Sinica,2018,WWTP,45.0
184,10.1109/jiot.2020.3034311,Detection of Anomalies in Industrial IoT Systems by Data Mining: Study of CHRIST Osmotron Water Purification System,Mohammad Sadegh Sadeghi Garmaroodi,IEEE Internet of Things Journal,2021,monitoring,53.0
185,10.1109/jsen.2020.3010134,Development of Chemical Oxygen on Demand (COD) Soft Sensor Using Edge Intelligence,Arunima Sambhuta Pattanayak,IEEE Sensors Journal,2020,monitoring,42.0
186,10.1109/nigercon62786.2024.10927288,Prediction of Cumulative biogas yield for FFV using Support Vector Regression,Obafemi O. Olatunji,2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),2024,sludge,2.0
187,10.1109/phm-chongqing.2018.00128,"A Comparative Study of Extreme Learning Machine, Least Squares Support Vector Machine, Back Propagation Neural Network for Outlet Total Phosphorus Prediction",Tingting Yu,2018 Prognostics and System Health Management Conference (PHM-Chongqing),2018,WWTP,1.0
188,10.1109/raaicon64172.2024.10928615,A Signal Processing and Machine Learning Framework for Enhanced TDS Simulation,Shuvendu Pal Shuvo,"2024 IEEE 3rd International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)",2024,monitoring,3.0
189,10.1109/smc58881.2025.11342533,Enhanced Biogas Production Prediction Using BiogasNET with BiogasGAN,Yingrui Geng,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2025,sludge,0.0
190,10.1109/southeastcon56624.2025.10971455,Improvement of Machine Learning-Based Predictive Models for Wastewater Treatment Processes Using Time-Series Influent Data,Justin Logan,SoutheastCon 2025,2025,control,1.0
191,10.1109/southeastcon56624.2025.10971695,Reinforcement Learning-Based Control Framework for Wastewater Treatment Process Aeration Control,Justin Logan,SoutheastCon 2025,2025,control,0.0
192,10.1109/tai.2023.3347182,Fuzzy Neural Network-Based Adaptive Asymmetric Constraint Control in Wastewater Treatment Process,Dingyuan Chen,IEEE Transactions on Artificial Intelligence,2024,control,13.0
193,10.1109/tase.2025.3584762,Optimizing Wastewater Treatment Control Using Policy-Constrained Offline Reinforcement Learning and Lyapunov Density Model,Ruyue Yang,IEEE Transactions on Automation Science and Engineering,2025,control,4.0
194,10.1109/tcyb.2022.3164476,Multiobjective Operation Optimization of Wastewater Treatment Process Based on Reinforcement Self-Learning and Knowledge Guidance,Ping Zhou,IEEE Transactions on Cybernetics,2023,control,70.0
195,10.1109/tii.2024.3413357,Neural Network-Based Adaptive Fault-Tolerant Control of Dissolved Oxygen and Nitrate Concentrations in WWTPs,Junfei Qiao,IEEE Transactions on Industrial Informatics,2024,control,11.0
196,10.1109/tii.2024.3452242,An Identification Model of Sludge Bulking Based on Self-Organized Recurrent Fuzzy Neural Network,Hongyan Yang,IEEE Transactions on Industrial Informatics,2025,sludge,5.0
197,10.1109/tii.2025.3626044,Reinforcement Learning-Based Adaptive Event-Triggered Control for Wastewater Treatment Process,Yi-Fan Yan,IEEE Transactions on Industrial Informatics,2026,control,0.0
198,10.1109/tim.2022.3152856,A Supervised Bidirectional Long Short-Term Memory Network for Data-Driven Dynamic Soft Sensor Modeling,Chun Fai Lui,IEEE Transactions on Instrumentation and Measurement,2022,WWTP,152.0
199,10.1109/tr.2024.3399735,Robust Neural Network Modeling With Small-Worldness for Effluent Total Phosphorus Prediction in Wastewater Treatment Process,Wenjing Li,IEEE Transactions on Reliability,2025,WWTP,6.0
200,10.1111/jfpp.14219,Artificial neural network modeling and optimization of wheat starch suspension microfiltration using twisted tape as a turbulence promoter,Bojana Ikonić,Journal of Food Processing and Preservation,2019,membrane,3.0
201,10.11113/mjfas.v15n2.1104,Optimization process of moringa oleifera seed extract using artificial neural network (ANN),Munirat Abolure Idris,Malaysian Journal of Fundamental and Applied Sciences,2019,coagulation,1.0
202,10.11159/iceptp23.160,Estimation of COD from UV-Vis Spectrometer Exploiting Machine Learning in Leather Industries Wastewater,Marco Cardia,"World Congress on Civil, Structural, and Environmental Engineering",2023,monitoring,7.0
203,10.1117/12.3074589,Optimizing wastewater treatment plant effluent quality prediction with different neural networks,Zhigang Mao,International Symposium on Artificial Intelligence Innovations (IS-AII 2025),2025,WWTP,0.0
204,10.1145/3512826.3512847,LSTM-based Modelling for Coagulant Dosage Prediction in Wastewater Treatment Plant,Xusheng Fang,2022 The 3rd International Conference on Artificial Intelligence in Electronics Engineering,2022,coagulation,6.0
205,10.1145/3573428.3573489,Prediction of flocculant dosage in water plant based on LSTM network,Yingtao Hu,Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,2022,coagulation,5.0
206,10.1155/2019/2468189,A Novel Model with GA Evolving FWNN for Effluent Quality and Biogas Production Forecast in a Full‐Scale Anaerobic Wastewater Treatment Process,Zehua Huang,Complexity,2019,sludge,7.0
207,10.1155/2019/8690898,Analysis and Forecasting of the Energy Consumption in Wastewater Treatment Plant,ZhenHua Li,Mathematical Problems in Engineering,2019,WWTP,22.0
208,10.1155/2019/9643921,Outlier Detection and Correction for Monitoring Data of Water Quality Based on Improved VMD and LSSVM,Guangpei Sun,Complexity,2019,monitoring,15.0
209,10.1155/2020/2734135,"Microbial Decolorization of Triazo Dye, Direct Blue 71: An Optimization Approach Using Response Surface Methodology (RSM) and Artificial Neural Network (ANN)",Khairunnisa’ Mohd Zin,BioMed Research International,2020,WWTP,36.0
210,10.1155/2020/5392417,Multimodal Control by Variable-Structure Neural Network Modeling for Coagulant Dosing in Water Purification Process,Jun Zhang,Complexity,2020,coagulation,2.0
211,10.1155/2020/6347625,Soft Sensor Modeling of Key Effluent Parameters in Wastewater Treatment Process Based on SAE-NN,Yousuf Babiker M. Osman,Journal of Control Science and Engineering,2020,WWTP,17.0
212,10.1155/2021/5264531,Employing Artificial Neural Networks to Predict the Performance of Domestic Sewage Treatment Terminals in the Rural Region,Qiang Lin,Mathematical Problems in Engineering,2021,WWTP,3.0
213,10.1155/2021/9202127,"On the Prediction of Biogas Production from Vegetables, Fruits, and Food Wastes by ANFIS‐ and LSSVM‐Based Models",Yong Yang,BioMed Research International,2021,sludge,26.0
214,10.1155/2022/1767295,Research on Wastewater Treatment Monitoring Algorithms Based on Deep Convolutional Neural Networks,Xun Zhang,Wireless Communications and Mobile Computing,2022,WWTP,4.0
215,10.1155/2022/3498060,Intelligent Measurement and Analysis of Sewage Treatment Parameters based on Fuzzy Neural Algorithm with ARM9 Core CPU,Yaqi Ma,Computational Intelligence and Neuroscience,2022,control,0.0
216,10.1155/2022/5134013,IOT Based Smart Wastewater Treatment Model for Industry 4.0 Using Artificial Intelligence,Narendar Singh D,Scientific Programming,2022,WWTP,28.0
217,10.1155/2022/6397478,Based on Improved Artificial Neural Network Sewage Monitoring Alarm System Method,Liping Chen,Scientific Programming,2022,control,1.0
218,10.1155/2022/7104752,Multiple Statistical Model Ensemble Predictions of Residual Chlorine in Drinking Water: Applications of Various Deep Learning and Machine Learning Algorithms,Charles Onyutha,Journal of Environmental and Public Health,2022,DBP,12.0
219,10.1155/2022/9203335,Machine Learning Framework for Intelligent Detection of Wastewater Pollution by IoT‐Based Spectral Technology,Jianhong Li,Wireless Communications and Mobile Computing,2022,monitoring,4.0
220,10.1155/2023/2871769,Estimation of Acetic Acid Concentration from Biogas Samples Using Machine Learning,Lingga Aksara Putra,International Journal of Chemical Engineering,2023,sludge,2.0
221,10.11591/eei.v8i4.1605,Performance comparison of SVM and ANN for aerobic granular sludge,Nur Sakinah Ahmad Yasmin,Bulletin of Electrical Engineering and Informatics,2019,WWTP,3.0
222,10.11591/eei.v9i5.2264,Improved support vector machine using optimization techniques for an aerobic granular sludge,Nur Sakinah Ahmad Yasmin,Bulletin of Electrical Engineering and Informatics,2020,sludge,8.0
223,10.11591/ijai.v12.i2.pp560-567,Neural network-based pH and coagulation adjustment system in water treatment,Oscar Ivan Vargas Mora,IAES International Journal of Artificial Intelligence (IJ-AI),2023,coagulation,1.0
224,10.11591/ijai.v9.i1.pp100-108,Modelling and control of fouling in submerged membrane bioreactor using neural network internal model control,Nurazizah Mahmod,IAES International Journal of Artificial Intelligence (IJ-AI),2020,membrane,0.0
225,10.11591/ijai.v9.i1.pp117-125,Optimization of artificial neural network topology for membrane bioreactor filtration using response surface methodology,Syahira Ibrahim,IAES International Journal of Artificial Intelligence (IJ-AI),2020,membrane,6.0
226,10.1186/s12302-024-00914-9,"New strategy based on Hammerstein–Wiener and supervised machine learning for identification of treated wastewater salinization in Al-Hassa region, Saudi Arabia",Syed Muzzamil Hussain Shah,Environmental Sciences Europe,2024,monitoring,6.0
227,10.1186/s40168-023-01519-9,Predicting microbial community compositions in wastewater treatment plants using artificial neural networks,Xiaonan Liu,Microbiome,2023,WWTP,45.0
228,10.1186/s44147-021-00044-6,Study on optimal conditions of flocculation in deinking wastewater treatment,Ming Li,Journal of Engineering and Applied Science,2021,coagulation,15.0
229,10.1186/s44147-022-00164-7,Machine learning model for the optimization and kinetics of petroleum industry effluent treatment using aluminum sulfate,Victor Ifeanyi Ugonabo,Journal of Engineering and Applied Science,2022,coagulation,16.0
230,10.12785/ijcds/1401113,A Comparative Study to Forecast the Total Nitrogen Effluent Concentration in a Wastewater Treatment Plant Using Machine Learning Techniques,Fuad Musleh,International Journal of Computing and Digital Systems,2023,WWTP,5.0
231,10.12911/22998993/138872,Wastewater Pollutants Modeling Using Artificial Neural Networks,Hadeel Al Saleh,Journal of Ecological Engineering,2021,WWTP,15.0
232,10.12912/27197050/132088,Estimation of Water Disinfection by Using Data Mining,Esra'a Bashayreh,Ecological Engineering &amp; Environmental Technology,2021,DBP,3.0
233,10.12913/22998624/192936,Machine Learning-Based Prediction of Biogas Production from Sludge Characteristics in Four Anaerobic Digesters: Development of the AD2Biogas Prediction Tool,Patryk Organiściak,Advances in Science and Technology Research Journal,2024,sludge,3.0
234,10.12989/mwt.2018.9.2.115,Modelling of starch industry wastewater microfiltration parameters by neural network,,Not specified,2017,membrane,
235,10.13189/eer.2023.110305,Application of ARIMA Imputation Model and RNN Forecasting Model – WWTPs Performances Optimization,A. Chaoui,Environment and Ecology Research,2023,WWTP,0.0
236,10.1371/journal.pone.0325234,Comparative analysis of supervised learning models for effluent quality prediction in wastewater treatment plants,Liu Bo-qi,PLOS One,2025,WWTP,5.0
237,10.1371/journal.pwat.0000040,Modelling point-of-consumption residual chlorine in humanitarian response: Can cost-sensitive learning improve probabilistic forecasts?,Michael De Santi,PLOS Water,2022,DBP,3.0
238,10.14419/drek9d11,Wastewater Treatment with Carbon-Based NanomaterialsEnhanced by Real-Time Machine ‎Learning Based Monitoring,Srinivasa Chanakya Muramshetti,International Journal of Basic and Applied Sciences,2025,monitoring,0.0
239,10.14428/esann/2023.es2023-133,Hybrid modelling of dynamic anaerobic digestion process in full-scale with LSTM NN and BMP measurements,Alberto Meola,ESANN 2023 proceesdings,2023,sludge,3.0
240,10.14569/ijacsa.2018.090153,Nonlinear Model Predictive Control for pH Neutralization Process based on SOMA Algorithm,Hajer Degachi,International Journal of Advanced Computer Science and Applications,2018,control,2.0
241,10.14569/ijacsa.2022.0130271,Data Visualization of Influent and Effluent Parameters of UASB-based Wastewater Treatment Plant in Uttar Pradesh,Parul Yadav,International Journal of Advanced Computer Science and Applications,2022,WWTP,1.0
242,10.14569/ijacsa.2022.0131077,Analyzing Multi-stage Reverse Osmosis Desalination Using Artificial Intelligence,Batiseba Tekle,International Journal of Advanced Computer Science and Applications,2022,membrane,2.0
243,10.15171/ehem.2016.05,"Prediction of the waste stabilization pond performance using linear multiple regression and multi-layer perceptron neural network: a case study of Birjand, Iran",Maryam Khodadadi,Environmental Health Engineering and Management,2016,WWTP,2.0
244,10.15244/pjoes/108925,"Uncertainty of Forecast and Control of Activated
Sludge Sedimentation Capacity",Bartosz Szeląg,Polish Journal of Environmental Studies,2020,WWTP,1.0
245,10.15244/pjoes/132821,"Influent Quality and Quantity Prediction
in Wastewater Treatment Plant: Model
Construction and Evaluation",Rui Wang,Polish Journal of Environmental Studies,2021,WWTP,22.0
246,10.15244/pjoes/169617,"FDA-SCN Network Based Soft Sensor
for Wastewater Treatment Process",Xianjun Du,Polish Journal of Environmental Studies,2023,WWTP,2.0
247,10.15255/kui.2021.001,Optimisation and Prediction of the Coagulant Dose for the Elimination of Organic Micropollutants Based on Turbidity,Hichem Tahraoui,Kemija u industriji,2021,coagulation,7.0
248,10.15376/biores.19.2.2179-2200,Effect of alkaline pretreatment on the characteristics of barley straw and modeling of methane production via codigestion of pretreated straw with sewage sludge,Raid Alrowais,BioResources,2024,sludge,6.0
249,10.15407/jai2023.02.107,Optimization of effluents using a neural network in the treatment of industrial wastewater,Matviichuk M,Artificial Intelligence,2023,WWTP,0.0
250,10.15587/1729-4061.2023.276431,Optimizing biogas production using artificial neural network,Bohdana Komarysta,Eastern-European Journal of Enterprise Technologies,2023,sludge,5.0
251,10.15666/aeer/1504_129142,"ROLE OF DIFFERENT PARAMETERS IN THE QUANTIFICATION OF GENERATED SLUDGE IN THE OXYLATOR UNIT OF WATER TREATMENT PLANTS, USING ARTIFICIAL NEURAL NETWORK MODEL (CASE STUDY OF JALALIEH WATER TREATMENT PLANT, TEHRAN, IRAN)",N NAEAMIKHAH,Applied Ecology and Environmental Research,2017,sludge,4.0
252,10.1590/0104-6632.20180354s20170039,APPLICATION OF UNCERTAINTY ANALYSIS OF ARTIFICIAL NEURAL NETWORKSFOR PREDICTING COAGULANT AND ALKALIZER DOSAGES IN A WATER TREATMENT PROCESS,F. C. de Menezes,Brazilian Journal of Chemical Engineering,2018,coagulation,12.0
253,10.17979/spudc.9788497497565.0621,A recurrent neural network for wastewater treatment plant effuents' prediction,Ivan Pisa,"Actas de las XXXIX Jornadas de Automática, Badajoz, 5-7 de Septiembre de 2018",2020,WWTP,6.0
254,10.18178/ijesd.2017.8.7.1004,Introducing Ensemble Methods to Predict the Performance of Waste Water Treatment Plants (WWTP),Bharat B. Gulyani,International Journal of Environmental Science and Development,2017,WWTP,6.0
255,10.18517/ijaseit.10.1.9577,Modeling Methane Emission of Wastewater Anaerobic Pond at Palm Oil Mill Using Radial Basis Function Neural Network,Ledis Heru Saryono Putro,"International Journal on Advanced Science, Engineering and Information Technology",2020,sludge,3.0
256,10.21307/ijssis-2021-016,Improving total nitrogen removal using a neural network ammonia-based aeration control in activated sludge process,M. H. Husin,International Journal on Smart Sensing and Intelligent Systems,2021,control,1.0
257,10.2166/aqua.2015.030,Artiﬁcial neural network modeling of the effluent quality index for municipal waste water treatment plants using quality variables: south of Tehran waste water treatment plant,Maliheh Falah Nezhad,Journal of Water Supply: Research and Technology - Aqua,2015,WWTP,3.0
258,10.2166/aqua.2021.091,Data-driven and model-based framework for smart water grid anomaly detection and localization,Z. Y. Wu,Journal of Water Supply: Research and Technology-Aqua,2021,monitoring,19.0
259,10.2166/aqua.2023.007,Securing drinking water supply in smart cities: an early warning system based on online sensor network and machine learning,Haiyan Lu,"AQUA — Water Infrastructure, Ecosystems and Society",2023,monitoring,12.0
260,10.2166/aqua.2023.062,Design and application of soft sensors in rural sewage treatment facilities,Bing Li,"AQUA — Water Infrastructure, Ecosystems and Society",2023,monitoring,3.0
261,10.2166/aqua.2023.218,A Big Data framework for actionable information to manage drinking water quality,Grigorios Kyritsakas,"AQUA — Water Infrastructure, Ecosystems and Society",2023,monitoring,8.0
262,10.2166/hydro.2023.028,"Application of black-box models based on artificial intelligence for the prediction of chlorine and TTHMs in the trunk network of Bogotá, Colombia",Laura Enriquez,Journal of Hydroinformatics,2023,DBP,4.0
263,10.2166/hydro.2023.122,A methodology for integrating time-lagged rainfall and river flow data into machine learning models to improve prediction of quality parameters of raw water supplying a treatment plant,Christian Ortiz-Lopez,Journal of Hydroinformatics,2023,monitoring,8.0
264,10.2166/hydro.2024.167,LSTM-based autoencoder models for real-time quality control of wastewater treatment sensor data,Siddharth Seshan,Journal of Hydroinformatics,2024,monitoring,21.0
265,10.2166/wcc.2023.052,Assessing machine learning tools for methane emission prediction from POME treatment in Malaysia,Kashwin Selvanathan,Journal of Water and Climate Change,2023,sludge,6.0
266,10.2166/wpt.2023.197,ACWA: an AI-driven cyber-physical testbed for intelligent water systems,Feras A. Batarseh,Water Practice &amp; Technology,2023,monitoring,13.0
267,10.2166/wpt.2024.211,A novel camera-based sensor for real-time wastewater quality monitoring,Giorgio Antonini,Water Practice &amp; Technology,2024,monitoring,7.0
268,10.2166/wqrj.2024.061,Water quality polluted by total suspended solids classified within an artificial neural network approach,Itzel Luviano Soto,Water Quality Research Journal,2024,monitoring,10.0
269,10.2166/wrd.2023.046,Gradient-Boosted Decision Tree with used Slime Mould Algorithm (SMA) for wastewater treatment systems,Jyoti Chauhan,Water Reuse,2023,WWTP,7.0
270,10.2166/wrd.2023.154,Assessment of carbon neutrality in waste water treatment systems through deep learning algorithm,L. Syam Sundar,Water Reuse,2023,WWTP,4.0
271,10.2166/wrd.2023.179,Tertiary treatment using ultrafiltration in an existing sewage treatment plant for industrial reuse: a modelling approach using artificial neural network with uncertainty estimation,D. Ramkumar,Water Reuse,2023,WWTP,1.0
272,10.2166/ws.2018.173,Utilizing variable selection methods in modelling potable water quality,Jani Tomperi,Water Supply,2018,coagulation,3.0
273,10.2166/ws.2021.062,Detection of water quality failure events at treatment works using a hybrid two-stage method with CUSUM and random forest algorithms,Gerald Riss,Water Supply,2021,monitoring,5.0
274,10.2166/ws.2023.219,Coagulant dosage prediction in the water treatment process,Eloiza Laisla Lino Tochio,Water Supply,2023,coagulation,13.0
275,10.2166/ws.2023.328,Reinforcement learning-based DSS for coagulant and disinfectant dosage selection on drinking water treatment plants,Aída Álvarez Díez,Water Supply,2023,coagulation,8.0
276,10.2166/wst.2017.417,Research on a soft measurement model of sewage treatment based on a case-based reasoning approach,Jiayan Zhang,Water Science and Technology,2017,WWTP,7.0
277,10.2166/wst.2018.263,Chemical coagulation of greywater: modelling using artificial neural networks,E. V. Vinitha,Water Science and Technology,2018,coagulation,25.0
278,10.2166/wst.2018.477,Wastewater treatment plant performance analysis using artificial intelligence – an ensemble approach,Vahid Nourani,Water Science and Technology,2018,WWTP,249.0
279,10.2166/wst.2019.257,Prediction of effluent quality in ICEAS-sequential batch reactor using feedforward artificial neural network,Narendra Khatri,Water Science and Technology,2019,WWTP,57.0
280,10.2166/wst.2020.053,An autonomous operational trajectory searching system for an economic and environmental membrane bioreactor plant using deep reinforcement learning,KiJeon Nam,Water Science and Technology,2020,control,26.0
281,10.2166/wst.2020.382,Performance improvement of wastewater treatment processes by application of machine learning,O. Icke,Water Science and Technology,2020,control,62.0
282,10.2166/wst.2021.067,Evaluation of the effluent quality parameters of wastewater treatment plant based on uncertainty analysis and post-processing approaches (case study),Nasim Hejabi,Water Science and Technology,2021,WWTP,30.0
283,10.2166/wst.2021.238,The effect of mobile camera selection on the capacity to predict water turbidity,Jorge Villamil,Water Science and Technology,2021,monitoring,4.0
284,10.2166/wst.2021.511,Model predictive control based on artificial intelligence and EPA-SWMM model to reduce CSOs impacts in sewer systems,Khalid El Ghazouli,Water Science and Technology,2021,control,25.0
285,10.2166/wst.2024.099,Optimizing neural network algorithms for submerged membrane bioreactor: A comparative study of OVAT and RSM hyperparameter optimization techniques,Syahira Ibrahim,Water Science &amp; Technology,2024,membrane,7.0
286,10.2166/wst.2024.293,Hybrid modelling of nitrogen removal by biofiltration using high-frequent operational data,Marcello Serrao,Water Science &amp; Technology,2024,WWTP,12.0
287,10.2174/1573411019666230221143245,"Forecasting of Permeate Conductivity using MLR and ANN Methods of
Boujdour Seawater Reverse Osmosis Desalination Plant",Siham Kherraf,Current Analytical Chemistry,2023,membrane,5.0
288,10.21741/9781644901311-8,A Machine Learning Approach for Anaerobic Reactor Performance Prediction Using Long Short-Term Memory Recurrent Neural Network,,Materials Research Proceedings,2021,sludge,5.0
289,10.22126/arww.2018.874,Application of artificial neural networks for the prediction of Gaza wastewater treatment plant performance-Gaza strip,,SHILAP Revista de lepidopterología,2018,WWTP,
290,10.22452/mjs.sp2019no2.7,MULTIVARIATE CUSUM CONTROL CHART BASED ON THE RESIDUALS OF MULTIOUTPUT LEAST SQUARES SVR FOR MONITORING WATER QUALITY,Hidayatul Khusna,Malaysian Journal of Science,2019,monitoring,3.0
291,10.22531/muglajsci.618373,ARTIFICIAL NEURAL NETWORK APPROACH FOR THE PREDICTION OF EFFLUENTS STREAMS FROM A WASTEWATER TREATMENT PLANT: A CASE STUDY IN KOCAELI (TURKEY),Esra BİLGİN ŞİMŞEK,Mugla Journal of Science and Technology,2020,WWTP,2.0
292,10.22597/rcest.v4.64,Rambutan (Nephelium lappaceum) seeds for the treatment of Palm Oil Mill Effluent (POME) and its Feedforward Artificial Neural Network (FANN) modeling,Mohammad Asad Tariq,Research Communication in Engineering Science &amp; Technology,2020,coagulation,5.0
